avg_cost,cuisines,id,location,name,price_range,rating
400,North Indian,18715159,"927 H, 1st Floor, 1st A Main, S.t. Bed Layout, Koramangala 4th Block",The Paratha Company,1,4.4
1000,"Continental, North Indian, Pizza, Italian, Indian, Finger Food, Desserts, Beverages",18744326,"470, 80 Feet Road, Koramangala 6th Block, Bangalore",The Old Fashioned Bar,3,4.5
1300,"Italian, Pizza, Salad",18765605,"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",Pasta Street,3,4.4
1800,"European, Continental",57355,"2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, 5th Block, Koramangala 5th Block, Bangalore",The Boozy Griffin,3,4.5
800,"Cafe, Salad",18632717,"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Nuts Over Salads Cafe,2,4.4
800,"Cafe, Italian, Fast Food",56542,"23, Near Mangala Kalyana Mantapa, MIG, KHB Colony, Koramangala 5th Block, Bangalore",Dyu Art Cafe,2,4.5
1000,"Mediterranean, European, Continental",18730346,"45, 4th Cross, Koramangala 5th Block, Bangalore",Wiggly Wine,3,4.4
1600,"Mediterranean, Pizza, Continental, Seafood, Salad",54127,"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Fenny's Lounge And Kitchen,3,4.5
300,"Desserts, Beverages",18869170,"18, Ground Floor, 7th Main, 80ft Road, Koramangala 1st Block, Bangalore",The Pancake Story,1,4.4
500,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",18022269,"Elite Building Ground Floor, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Stoner,2,4.5
1500,"Pizza, Continental, North Indian, Asian",18868127,"104, 3rd Floor, 1st Main, 5th Block, Jatti Building, Koramangala 5th Block, Bangalore",Drava,3,4.4
1500,"North Indian, Chinese, Continental, Thai, Salad",58349,"60, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Buff Buffet Buff,3,4.5
1000,Cafe,18703587,"17, SBI Colony Service Road, Koramangala 3rd Block, Bangalore",Mimansa @ Foxtrot,3,4.4
1300,"North Indian, Mughlai, Salad",50943,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Sultans of Spice,3,4.5
900,"Cafe, Continental, Modern Indian, Beverages",18734025,"#584, 80 Feet Road, Ocean Pearl, 5th Floor, Koramangala 8th Block, Bangalore - 560095",TRIGEREATO,2,4.4
